img_path,type,severity,description
pressure_wounds_412.png,Pressure,Moderate,"The wound is a pressure wound with a jagged edge. The wound base is exposed, with redness and inflammation. The wound is not bleeding at this time, but there is a risk of infection due to the exposed tissue."
normal_14.png,Normal,Mild,The skin appears healthy with no evidence of lesions or discoloration. There is no indication of infection or tissue damage.
surgical_wounds_24.png,Surgical,Mild,"A 1 cm, punctate wound with a 2 cm, red, oval-shaped area surrounding it. The wound appears to be shallow, with minimal tissue damage visible. There is no significant bleeding or swelling present."
diabetic_wounds_280.png,Diabetic,Severe,The wound is 3 cm by 2 cm in size with a depth of 1 cm. The tissue is granulating and the wound base is covered by fibrinous exudate. The edges are irregular and have a rolled appearance. The peri-wound skin is erythematous and warm to the touch. There is no odor or pain. The wound is clean and free of infection.
pressure_wounds_425.png,Pressure,Severe,"The wound is a deep ulcer with exposed necrotic tissue. The surrounding skin is erythematous. There is no bleeding at the moment. The ulcer is significant in size, suggesting a long-standing condition."
diabetic_wounds_320.png,Diabetic,Severe,"The wound is a deep, crater-like depression with discolored, reddish-brown peri-wound skin indicating significant tissue damage. There is no visible active bleeding, but the depth suggests a high risk of infection."
venous_wounds_20.png,Venous,Moderate,"The wound appears to be multiple areas of discoloration and possible tissue breakdown. The size is approximately 5 cm x 5 cm, and there is some surrounding erythema. There is no visible bleeding at the moment, but there is a risk of infection due to the compromised tissue."
diabetic_wounds_156.png,Diabetic,Severe,"The wound appears to be a deep, open ulcer with exposed granulation tissue and necrotic debris. The surrounding skin is erythematous, indicating inflammation. There is a high risk of infection due to the extensive tissue damage and potential for contamination."
pressure_wounds_133.png,Pressure,Severe,"The wound is a deep with redness and swelling. The area is extensively discolored, indicating extensive tissue damage. There is no visible bleeding. The risk of infection is high due to the severity and extent of the wound."
bruises_149.png,Bruises,Mild,"The image shows a well-defined, single area of discoloration on the forearm, without signs of bleeding, swelling, or infection. The size is approximately 2 cm in diameter."
surgical_wounds_243.png,Surgical,Severe,"The wound is a deep incision on the leg. There is significant tissue loss and exposure of underlying structures. The wound is inflamed, with surrounding redness and swelling. There is active bleeding, indicating a high risk of infection."
laseration_120.png,Laceration,Moderate,"A linear wound, approximately 5mm long, with a jagged edge. The wound is shallow and has significant depth, exposing underlying tissue. There is minimal bleeding visible at the edges. The surrounding area shows some erythema."
pressure_wounds_434.png,Pressure,Severe,"The wound is a deep pressure ulcer with exposed granulation tissue and surrounding erythema. The ulcer is large, extending beyond the normal skin surface, and there is significant tissue loss. The surrounding area shows signs of inflammation and potential infection."
laseration_8.png,Laceration,Moderate,The wound on the tip of the index finger is deep. It has visible bleeding and surrounding erythema. The wound appears to be clean. It requires proper cleaning and dressing to prevent infection.
venous_wounds_115.png,Venous,Severe,"The wound appears to be a deep wound with exposed tissue, significant redness, and potential for infection due to the size and depth of the lesion."
pressure_wounds_242.png,Pressure,Severe,"The wound is deep, with exposed bone, and significant tissue damage. There is bruising around the wound. The edges are indistinct and the wound is large. The base appears to be necrotic tissue."
bruises_179.png,Bruises,Mild,"The image shows a contusion characterized by a patchy area of discoloration on the skin, primarily consisting of purple and blue hues. The area appears to be localized and does not show signs of significant bleeding, swelling, or infection. The size is relatively small, suggesting it may have resulted from a minor impact."
venous_wounds_67.png,Venous,Severe,"The wound is a large, deep wound with significant tissue damage, exposed red and charred areas, and potential for extensive scarring and infection."
pressure_wounds_264.png,Pressure,Severe,"The wound is large, with visible bleeding and surrounding erythema, indicating potential infection risk. It is irregularly shaped with exposed underlying tissue, exhibiting signs of significant tissue damage. The wound appears to be a pressure wound involving the skin and subcutaneous tissue."
pressure_wounds_381.png,Pressure,Severe,"The wound is a deep burn with a raised blister at the center surrounded by a reddened, inflamed skin margin. The surrounding skin is dry and cracked, indicating significant tissue damage and potential for infection."
abrasions_120.png,Abrasion,Moderate,"A wound on the knee with visible bleeding and surrounding erythema. The wound appears to be deep, with some tissue loss and potential for infection."
venous_wounds_181.png,Venous,Severe,"The wound is deep, involving a significant portion of the lower leg. The wound base is necrotic and exposed bone is present. Surrounding erythema is present. Purulent discharge is present."
burns_108.png,Burn,Moderate,"The wound is an area of red, blistered skin. The skin is raised and there is a noticeable fluid-filled blister, which indicates a risk of infection."
pressure_wounds_317.png,Pressure,Moderate,"The wound is a jagged edge, exposing underlying tissue. The area is inflamed with surrounding redness, indicating some level of tissue damage. There is no visible active bleeding at the moment, but there is a risk of infection due to the exposed tissue."
diabetic_wounds_345.png,Diabetic,Moderate,The wound is approximately 1 cm in diameter. It has a central area of tissue breakdown surrounded by erythema and induration. There is no visible exudate. The edges are not defined and the surrounding skin appears normal.
pressure_wounds_498.png,Pressure,Severe,The wound is an irregularly shaped area of exposed tissue and visible bleeding. There is significant tissue loss and surrounding skin shows signs of inflammation and possible infection.
venous_wounds_357.png,Venous,Severe,"The wound is a deep, irregular-shaped wound with a necrotic center. The edges are well-defined, and the surrounding skin is red and swollen. There is moderate exudate present. The wound measures approximately 2 cm in diameter."
diabetic_wounds_446.png,Diabetic,Severe,"The wound is approximately 3 cm long and 2 cm wide. It is a full-thickness wound, with exposed dermis and charred tissue. There is no bleeding or open areas. The peri-wound skin is discolored and dry. There is a slight odor, and the risk of infection is high due to the compromised tissue."
surgical_wounds_279.png,Surgical,Severe,"The wound is 10 centimeters wide, 5 centimeters deep, and has 2 centimeters of exposed muscle. The edges are ragged and irregular, and the wound is bleeding heavily. There is a large area of skin loss around the wound. The wound is red and swollen, and there is a strong odor of infection."
diabetic_wounds_96.png,Diabetic,Severe,"The wound appears to be a significant tissue damage. The surrounding skin is inflamed, with extensive redness and swelling. There is a high risk of infection due to the extent of tissue destruction."
pressure_wounds_335.png,Pressure,Moderate,"A 1cm wound with a visible red center, surrounded by erythema and some surrounding edema. There is minimal bleeding at the site."
pressure_wounds_99.png,Pressure,Severe,"The wound is 6 x 5 cm with a depth of 3 cm. The wound bed is irregular, with 80% sloughing. The exudate is moderate, with a foul odor. The surrounding skin is erythematous. There is evidence of infection with yellowish exudate and possible cellulitis."
pressure_wounds_402.png,Pressure,Severe,"The wound is 1.5 cm deep, with irregular edges and surrounding erythema and edema. The base is exposed and there is significant tissue loss. The edges are irregular and there is extensive surrounding erythema and edema. There is no visible active bleeding at the moment, but the risk of infection is high due to the depth and extent of the injury."
surgical_wounds_391.png,Surgical,Moderate,"The wound is a puncture injury with a small, circular entry point surrounded by a reddened area. The surrounding skin shows signs of irritation and possible bruising. There is no visible bleeding at the moment, but there is a risk of infection due to the depth and proximity to the skin's surface."
bruises_217.png,Bruises,Mild,"A localized area of discoloration on the knee. The size appears to be small, with no visible signs of bleeding or significant swelling. There is no indication of infection."
abrasions_40.png,Abrasion,Moderate,"The wound is on the knee with a noticeable depth, exhibiting significant redness and bruising around the edges. There is visible bleeding at the site, indicating a moderate severity. The wound appears to be clean but requires proper cleaning and dressing to prevent infection."
surgical_wounds_15.png,Surgical,Severe,A deep cut on the toe with exposed tissue and significant tissue loss is visible. There is visible inflammation and potential infection risk due to the extent of the damage.
diabetic_wounds_182.png,Diabetic,Severe,"The wound appears to be with significant tissue damage, exhibiting charred and necrotic areas. There is extensive redness and swelling surrounding the affected area, indicating potential for infection."
venous_wounds_18.png,Venous,Severe,"The wound is a deep crater with exposed subcutaneous tissue. There is significant tissue loss and erythematous surrounding skin. No bleeding is visible, but the risk of infection is high due to the extent of tissue damage."
venous_wounds_108.png,Venous,Severe,"The wound is a ulcer with significant tissue loss, exposed subcutaneous fat, and a large area of skin loss. There is visible bleeding at the edges, and the surrounding skin shows signs of inflammation and possible infection."
surgical_wounds_378.png,Surgical,Severe,"The wound appears to be a large, deep wound with exposed granulation tissue and necrotic areas. The surrounding skin is erythematous and edematous, indicating significant inflammation and potential infection. There is no visible active bleeding at the time of the photograph."
venous_wounds_57.png,Venous,Severe,The wound is 12 centimeters by 10 centimeters with a depth of 2 centimeters. It has a red base and a yellow exudate. The edges are not defined. The peri-wound skin is red and has a texture of dry skin. There is an odor. There are signs of infection.
venous_wounds_166.png,Venous,Moderate,A wound on the lower leg with visible bleeding and surrounding erythema. The wound appears to be approximately 1 cm long and is located on the lateral aspect of the leg.
venous_wounds_169.png,Venous,Severe,"The wound appears to be a deep with significant tissue damage, characterized by a large area of reddened, blistered skin with exposed underlying tissue. There is a noticeable amount of exudate present, indicating potential infection risk."
diabetic_wounds_123.png,Diabetic,Severe,"The wound is approximately 12 cm in diameter and has a depth of 2 cm. The wound base is covered in necrotic tissue and the edges are well-defined. The surrounding skin is red and slightly swollen. There is a moderate amount of yellowish-green exudate, and the wound has a foul odor. There are no visible indicators of infection."
abrasions_135.png,Abrasion,Moderate,"The wound has irregular edges, with some tissue loss and significant redness. There is inflammation in the surrounding skin, and there is a noticeable amount of blood present. The wound appears to be of moderate severity, and there is a possibility of infection due to the exposed tissue."
bruises_237.png,Bruises,Moderate,"A large, irregularly shaped bruise with a mix of purple and red discoloration around the eye area. The bruising appears to be extensive, suggesting a significant impact or injury."
pressure_wounds_95.png,Pressure,Severe,"The wound is approximately 5 cm x 4 cm in size, with irregular edges. There is significant tissue damage and bleeding. The surrounding skin is bruised."
pressure_wounds_572.png,Pressure,Moderate,"The wound has a small, round, raised area at the center, surrounded by a slightly elevated, red border. There is some exudate present, indicating potential infection risk. The surrounding skin shows signs of irritation and possible inflammation."
diabetic_wounds_202.png,Diabetic,Moderate,A 1-cm superficial wound with bleeding and surrounding erythema. The wound appears clean but requires proper cleansing and dressing to prevent infection.
diabetic_wounds_30.png,Diabetic,Severe,"The wound has a central area of necrotic tissue, surrounded by erythema. There is significant redness around the edges, and there are signs of potential infection."
bruises_125.png,Bruises,Mild,The image shows multiple circular bruises on the forearm. The bruises appear to have varying sizes and some show a slight discoloration around the edges. There is no visible bleeding or signs of infection.
pressure_wounds_354.png,Pressure,Moderate,"The wound is a puncture mark with a small, circular depression at the center. The surrounding area is slightly reddened, indicating some inflammation. There is no visible bleeding, but there may be a risk of infection due to the puncture nature of the injury."
pressure_wounds_532.png,Pressure,Moderate,"The wound has a jagged edge and exposes muscle tissue. The area is swollen, with significant redness and bruising surrounding the wound. There is no visible active bleeding at the moment, but there is a risk of infection due to the exposed muscle."
surgical_wounds_83.png,Surgical,Severe,"The wound has a depth of 5 cm, with tissue damage of 2 cm. The tissue base is necrotic, with exudate amount and type not provided. The edges are irregular, with peri-wound skin appearing inflamed and at risk of infection."
pressure_wounds_2.png,Pressure,Severe,"The wound is a deep ulcer with exposed granulation tissue and necrotic debris. The surrounding skin is erythematous, indicating inflammation, and there is a significant amount of exudate present."
pressure_wounds_90.png,Pressure,Severe,"The wound is large, with significant tissue loss and exposed bone. There is a mix of necrotic tissue and granulation tissue, and surrounding erythema. There is also possible fluid drainage."
diabetic_wounds_244.png,Diabetic,Severe,"The wound appears to be involving the ear, exhibiting significant tissue damage, exposed bone, and extensive bleeding. The surrounding area is inflamed with signs of potential infection."
bruises_97.png,Bruises,Moderate,"A large, irregularly shaped wound with a mix of purple and red hues, indicating recent trauma. The area appears swollen and there is no visible bleeding, suggesting it may be in the early stages of healing."
surgical_wounds_324.png,Surgical,Severe,"The wound is approximately 4 cm in diameter. The wound base is a light pink, with a surrounding area of red, inflamed skin. There is no bleeding or exudate."
diabetic_wounds_90.png,Diabetic,Moderate,"The wound is a reddened, elevated area on the foot. The surrounding skin is inflamed, and there is a noticeable indentation suggesting underlying tissue damage. There is no visible bleeding, but the risk of infection is high due to the compromised tissue."
venous_wounds_465.png,Venous,Severe,"The wound appears to be a large, deep wound with extensive tissue necrosis, significant erythema, and signs of infection. The area is swollen and there is no visible bleeding at the moment."
cut_82.png,Cut,Moderate,A 1 cm long wound with bleeding and erythema. The wound is clean and requires proper cleaning and dressing to prevent infection.
diabetic_wounds_361.png,Diabetic,Severe,The wound is located on the lower leg. The wound measures approximately 2 cm in length. The wound extends into the underlying muscle. The wound base is exposed tissue. There is visible bleeding.
surgical_wounds_137.png,Surgical,Severe,"The wound is an irregularly shaped wound that extends into the subcutaneous tissue, exposing the underlying tissue. There is significant tissue damage, with inflammation and potential infection risk around the wound."
surgical_wounds_288.png,Surgical,Severe,"The wound is deep with charred, reddened tissue. The edges are defined with visible scarring and tissue damage. The surrounding skin is inflamed, and there is no active bleeding. There is a high risk of infection due to the extent of the wound."
pressure_wounds_165.png,Pressure,Severe,"The wound is 2 cm deep with 30% tissue loss and exposed bone. The wound base is covered in slough. There is 10 mL of serosanguineous exudate. The wound edges are undermined and irregular. The surrounding peri-wound skin is erythematous and hyperkeratotic. There is a foul odor and pain with palpation, indicating potential infection."
pressure_wounds_444.png,Pressure,Severe,"The wound is a injury on the foot, with visible tissue and significant bleeding. The edges are irregular, and there is a noticeable amount of tissue loss, indicating a severe injury."
pressure_wounds_45.png,Pressure,Severe,The wound is approximately 2 cm x 2 cm and is deep. The base is covered in necrotic tissue. There is surrounding erythema. The wound has a high risk of infection.
laseration_95.png,Laceration,Severe,"The wound is a exposed dermis and charred tissue. The area is significantly discolored, with a mix of darkened and reddened skin. There is no visible bleeding, but the extent of tissue damage suggests a high risk of infection."
normal_120.png,Normal,Mild,The skin is intact with no visible wounds or erythema. It has normal elasticity and no signs of underlying pathology.
pressure_wounds_549.png,Pressure,Severe,"A ulcer with irregular shape, exposed granulation tissue, surrounding erythema, and signs of infection."
pressure_wounds_222.png,Pressure,Moderate,"A wound is present, characterized by a small, circular entry point with surrounding erythema and some exudate. The wound appears to be shallow but has a significant risk of infection due to the potential for deep tissue penetration"
surgical_wounds_149.png,Surgical,Moderate,"The wound is a injury with a small, circular entry point surrounded by a slightly raised, reddened area. There is no bleeding at the moment, but there is some surrounding erythema indicating potential inflammation. The size of the wound is approximately 5mm in diameter."
pressure_wounds_298.png,Pressure,Severe,"The wound is approximately 5 cm in diameter and shows signs of infection with dark, sloughing tissue. The surrounding skin is erythematous, indicating inflammation. The wound base is covered in necrotic tissue with significant tissue loss. There is no visible exudate or odor. The wound edges are undefined and have a slight amount of adherence to the surrounding skin. The peri-wound skin is intact and shows no signs of infection or irritation."
pressure_wounds_347.png,Pressure,Severe,"The wound is 5 cm long and 3 cm wide with a depth of 3 cm. The tissue is necrotic and exposed bone is visible. The edges are irregular and the wound base is red and inflamed. The surrounding skin is red and inflamed with some dry, peeling skin. There is an odor and the patient reports pain. There are signs of infection with purulent discharge and pus."
abrasions_14.png,Abrasion,Mild,"A linear wound on the forearm with a small amount of bleeding. The wound base appears clean but there is surrounding bruising, indicating minor trauma."
pressure_wounds_372.png,Pressure,Moderate,"The wound is with a jagged edge. The wound base is exposed, and the area is inflamed. The surrounding skin is red, and there is a noticeable amount of exudate present. The wound is approximately 1 cm in length."
venous_wounds_302.png,Venous,Severe,"The wound is deep with significant tissue damage. There is a charred, reddened area with exposed underlying tissue. There is a noticeable blister and surrounding erythema, indicating potential for infection."
diabetic_wounds_116.png,Diabetic,Moderate,"The wound on the lateral aspect of the foot is approximately 1 cm long. It has visible bleeding and surrounding erythema. The wound appears to be clean. However, proper cleansing and dressing are required to prevent infection."
pressure_wounds_553.png,Pressure,Severe,"The wound is with significant tissue loss exposing muscle and possibly bone. The edges are irregular and there is a significant amount of granulation tissue present, indicating chronicity. There is no visible active bleeding at the moment, but the depth and extent suggest a high risk for infection."
laseration_80.png,Laceration,Severe,"The wound appears to be on the leg. The edges are irregular and jagged, indicating a forceful injury. The wound is approximately 3 cm in length and 2 cm in width. The wound base appears to be a mix of healthy and necrotic tissue. There is active bleeding and moderate exudate, which appears to be serosanguinous in nature. The surrounding area shows signs of inflammation and potential infection, with erythema and edema present"
surgical_wounds_143.png,Surgical,Severe,The wound is deep with exposed granulation tissue and necrotic areas. The surrounding skin is erythematous. There is a high risk of infection.
diabetic_wounds_80.png,Diabetic,Severe,The wound is approximately 3.5 cm x 5 cm and extends into the subcutaneous tissue. The base of the wound appears to be granulation tissue with exposed bone. The wound edges are irregular with some adherence to surrounding skin. There is some erythema and edema of the surrounding skin. There is some purulent discharge from the wound with a foul odor.
bruises_169.png,Bruises,Mild,"A circular area of skin discoloration with a mottled pinkish hue, likely indicative of a pressure sore or bruise. The area appears to be slightly raised and has a rough texture, suggesting some degree of tissue damage. There is no visible bleeding or significant swelling, indicating it may be in an early stage."
bruises_83.png,Bruises,Mild,"The image shows multiple bruises on the forearm, characterized by dark purple and black discoloration. The bruises appear to be localized and do not show signs of significant swelling or bleeding. There is no visible infection, and the skin surrounding the bruises appears intact."
bruises_234.png,Bruises,Moderate,"The image shows a large area of purple and red discoloration. The wound appears to be extensive, covering a significant portion of the skin surface. There is no visible bleeding or open wound, but the size and color suggest potential for swelling and pain."
surgical_wounds_45.png,Surgical,Severe,"The wound appears to have significant tissue loss, exposed subcutaneous fat, and a visible blood vessel. The surrounding skin is erythematous, indicating inflammation, and there is a risk of infection due to the extent of tissue damage."
laseration_34.png,Laceration,Severe,The wound appears to be a deep on the lower leg with significant tissue loss and exposed subcutaneous fat. The edges are irregular and there is active bleeding at the site. The surrounding skin shows signs of inflammation and possible infection.
pressure_wounds_589.png,Pressure,Severe,"The wound appears to be deep with charred tissue and exposed underlying structures. The surrounding area is inflamed with significant tissue damage, indicating a severe burn injury."
pressure_wounds_59.png,Pressure,Moderate,"The wound is a injury with a small, circular entry point. The surrounding skin is slightly red, indicating some inflammation. There is no visible bleeding at this time, but there may be internal bleeding or infection risk due to the nature of the injury."
diabetic_wounds_237.png,Diabetic,Moderate,"A small wound is present on the foot, with a deep entry point surrounded by erythema and possible bruising. The wound appears clean, but requires further assessment for potential infection."
venous_wounds_30.png,Venous,Severe,"The wound appears to have significant tissue loss, exposed bone, and signs of infection. The area is large, with a deep crater-like appearance, and there is a high risk of further tissue damage and infection."
pressure_wounds_456.png,Pressure,Severe,A deep wound is visible with significant tissue damage. The surrounding skin appears erythematous. A hole is present in the center. The wound has a high risk of infection due to its depth and potential for contamination.
bruises_7.png,Bruises,Mild,"A large, irregularly shaped bruise with a mix of dark purple and brown hues is present. The wound appears to be localized and does not show signs of active bleeding or significant swelling. There is no visible infection, and the surrounding skin appears intact."
surgical_wounds_154.png,Surgical,Severe,"The wound is an irregularly shaped wound involving the skin and subcutaneous tissue. It has exposed underlying tissue and blood pooling at the base. The surrounding area shows significant redness and swelling, indicating potential for infection."
bruises_224.png,Bruises,Moderate,The image shows a purple and greenish-yellow discoloration with a diameter of approximately 2 cm. The discoloration is located on the skin surface without visible signs of bleeding or significant swelling. There is no evidence of infection at this time.
pressure_wounds_511.png,Pressure,Moderate,"A linear wound is present on the lower abdomen, approximately 2 cm long, with a jagged edge. The wound is clean, with surrounding erythema and possible bruising. No visible bleeding is present at the moment of the image capture."
bruises_33.png,Bruises,Mild,The image shows a localized bruise on the skin with a mix of purple and yellow hues. There is no visible bleeding or significant swelling. The bruise is approximately 2 cm in diameter.
burns_106.png,Burn,Mild,"The image shows multiple small, reddish-brown burns on the forearm. The wound appear to be superficial, with no signs of bleeding or significant swelling. There is no visible infection, and the skin around the burns appears intact."
pressure_wounds_26.png,Pressure,Moderate,"A wound is present on the toe, characterized by a small, circular entry point with surrounding erythema and possible bruising. The wound appears to be shallow but may have caused internal tissue damage."
diabetic_wounds_350.png,Diabetic,Severe,"The wound is approximately 3 cm in diameter with a depth of 1.5 cm. There is a thick, yellow exudate with a foul odor. The edges are well-defined and not adherent. The surrounding skin is erythematous and edematous. There are no visible signs of infection."
venous_wounds_33.png,Venous,Severe,"The image shows a large, deep wound on the leg with significant tissue damage, exposed dermis, and surrounding erythema. There is no visible bleeding, but there is a high risk of infection due to the extent of the venous."
burns_97.png,Burn,Severe,"The wound appears to be deep with significant tissue damage, extensive redness, and blisters. There is visible swelling and potential for infection."
diabetic_wounds_248.png,Diabetic,Severe,"The wound appears to be a large area of exposed pink tissue, indicating significant thermal damage. There is a noticeable central area of white eschar, suggesting necrosis. The surrounding skin shows signs of inflammation and possible edema, increasing the risk of infection."
diabetic_wounds_11.png,Diabetic,Severe,"The wound appears to be a injury with exposed tissue and potential for significant bleeding and infection. The surrounding area is swollen, and there is visible tissue damage."
burns_125.png,Burn,Severe,"The wound is deep with significant tissue loss. The edges are not well-defined. The wound base is inflamed, and there is extensive bleeding. The peri-wound skin is inflamed. There is a high risk of infection."
diabetic_wounds_241.png,Diabetic,Severe,"The wound is approximately 1 cm x 1 cm in size. The wound base is necrotic tissue with exposed bone. The wound is deep, and there is a high risk of infection due to the exposed bone and tissue loss. The wound is surrounded by erythema."
venous_wounds_39.png,Venous,Severe,"The image shows a wound with significant redness, blistering, and exposed tissue. The area appears to be large and involves multiple layers of skin, indicating a deep wound. There is no visible bleeding at the moment, but there is a high risk of infection due to the extent of tissue damage."
venous_wounds_158.png,Venous,Moderate,"The wound is 5 x 4 cm, with a 3 cm depth. The tissue around the wound is red and swollen, and there are several small ulcers on the skin. The wound base is covered in a thick, yellow, and greenish exudate. The wound edges are not well-defined, and the skin around the wound is red and itchy. There is no odor or pain."
surgical_wounds_342.png,Surgical,Moderate,"The wound appears to be a surgical wound with a deep, irregularly shaped crater. The surrounding skin is erythematous, and there is some exudate visible at the base of the ulcer. The ulcer is approximately 2 cm in diameter and shows signs of tissue breakdown."
pressure_wounds_185.png,Pressure,Severe,The wound is deep. There is tissue loss. The wound base is necrotic and granulated. The surrounding skin is erythematous. The wound is approximately 2 cm in diameter.
bruises_121.png,Bruises,Mild,"The image shows a wound on the forearm with a mix of purple, yellow, and red discoloration. The wound appears to be localized and does not show signs of significant swelling or bleeding. There is no visible infection, and the skin around the bruise looks intact."
diabetic_wounds_332.png,Diabetic,Severe,The wound is deep and extends to the bone. It is large with a crater-like appearance. The edges are not well defined. The wound base is necrotic. There are signs of bacterial colonization. There is some exudate. The peri-wound skin is reddened and edematous. The wound has an odor and there is pain with movement. There are signs of infection.
cut_68.png,Cut,Mild,"A wound on the skin surface, approximately 1 cm long, with minimal surrounding erythema. There is no visible bleeding or significant swelling."
pressure_wounds_417.png,Pressure,Moderate,"The wound has with a jagged edge. The exposed tissue appears red and inflamed, indicating some level of tissue damage. There is no visible bleeding at this time, but there is a risk of infection due to the exposed tissue."
pressure_wounds_152.png,Pressure,Severe,The wound is deep and has charred tissue and exposed bone. There is significant tissue necrosis. The surrounding skin is inflamed and there is a high risk of infection.
venous_wounds_185.png,Venous,Severe,"The wound has a depth of 2 cm and an extent of 10 cm. The tissue and wound base are necrotic with signs of infection. The exudate is dark and sloughy with a possible purulent discharge. The edges are well-defined with no adherence to the wound bed. The peri-wound skin is erythematous with a dry, atrophic appearance. The wound has no odor or pain."
venous_wounds_23.png,Venous,Severe,"The wound appears to be a large, deep wound with extensive necrotic tissue, exposed bone, and signs of infection. The area is erythematous, edematous, and there is significant tissue loss."
pressure_wounds_173.png,Pressure,Moderate,"The wound is 1 cm in diameter with a visible entry point and surrounding erythema. It is located on the abdomen and appears to be a puncture injury. There is no active bleeding, but there is some swelling around the wound. The risk of infection is moderate due to the depth and location."
pressure_wounds_157.png,Pressure,Moderate,"The wound is a injury with a small, circular entry point. The surrounding skin is erythematous, indicating some inflammation. There is minimal visible bleeding, but the depth and potential for infection suggest it may require medical attention."
pressure_wounds_403.png,Pressure,Moderate,"The wound is deep, exposing muscle. There is significant tissue loss. The surrounding skin is inflamed. There is visible bleeding. The wound is large, extending across the lower eyelid and upper cheek area."
bruises_28.png,Bruises,Mild,"A small, localized bruise is present on the patient's forearm, with a dark purple coloration indicating recent trauma. The bruise does not exhibit signs of significant swelling or bleeding. There are no visible indicators of infection, and the surrounding skin appears intact."
venous_wounds_269.png,Venous,Severe,"The wound is a deep, irregularly shaped wound with a large area of necrotic tissue. The surrounding skin is red and there is evidence of tissue breakdown and potential infection."
abrasions_118.png,Abrasion,Mild,"The wound is located on the shoulder and measures 2 x 1.5 cm. It is shallow, with red, swollen edges. The wound base is dry, with no signs of infection."
venous_wounds_232.png,Venous,Severe,"The wound appears to be a large, deep wound with extensive necrotic tissue, exposed bone, and significant surrounding erythema. There is no visible active bleeding at the moment, but there is a high risk of infection due to the extent of tissue damage."
diabetic_wounds_363.png,Diabetic,Severe,"The wound is 3.5 cm in diameter with a depth of 1.8 cm. The tissue and base are healthy, with a moderate amount of red, yellow, and brown exudate. The edges are defined with minimal adherence to the surrounding skin. The peri-wound skin is pink and moist, with a slight odor. There are no visible indicators of infection."
abrasions_58.png,Abrasion,Mild,"The image shows a small, superficial wound with red, inflamed skin. The burn does not appear to have caused significant tissue damage or blistering."
venous_wounds_419.png,Venous,Severe,"The wound is a large, deep, open wound with extensive tissue loss, significant redness, and signs of infection. The area is swollen and there is no visible bleeding at the moment."
pressure_wounds_546.png,Pressure,Moderate,"The wound has a circular area of skin breakdown, approximately 2 cm in diameter. The center of the wound is pale and slightly raised, surrounded by erythema. There is no visible bleeding, but there is some surrounding edema, indicating potential for infection."
surgical_wounds_14.png,Surgical,Severe,The wound is a deep wound with significant tissue damage. The wound base is charred and reddened with exposed underlying tissue. There is no visible bleeding. The extent of the tissue damage suggests a high risk of infection.
diabetic_wounds_215.png,Diabetic,Mild,"A small, shallow cut on the toe with a slightly raised, pale area indicating possible bruising or early healing. There is no visible bleeding or infection."
normal_122.png,Normal,Mild,"The skin appears intact with no visible lesions or discoloration. There is no evidence of inflammation, bleeding, or tissue breakdown."
